	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
24	Pla2g1b	23821.1331104359	-3.77003006444651	0.360909964578339	-10.4459018438328	1.52994247741116e-25	9.183326726412731e-23
25	Bmp3	280.427832443297	-3.50747836292622	0.342112067555798	-10.2524251423962	1.15410901359255e-24	6.66098456075764e-22
26	Gm5771	5872.44682218583	4.60065725522343	0.44982981804471	10.2275506662081	1.4924631121197e-24	8.29477831869195e-22
27	Gm10334	1473.84109477555	6.40441867502097	0.629228116525987	10.1782143976341	2.48071494521685e-24	1.32948601671158e-21
28	Cilp	1158.8136769785	3.56428630585181	0.353365045177098	10.0866974662575	6.3262158422423504e-24	3.27348948029961e-21
29	Cyp39a1	742.914563436884	-3.51775743715699	0.351753484858359	-10.0006327970666	1.51426311335488e-23	7.57434409300112e-21
30	1810018F18Rik	1885.00405954354	-6.04418323068911	0.608815603057476	-9.92777320478513	3.15216171328152e-23	1.5258496345000802e-20
31	Bmp7	229.310014515124	-3.57435137026186	0.36545493845967	-9.78055293308426	1.36462973560892e-22	6.39926056642107e-20
32	Pkd1l2	50.5100422288141	-5.39043175180691	0.554589997422149	-9.71966998478655	2.48585849071465e-22	1.1303876518686102e-19
33	Nxph2	77.7277977763712	-7.88102227401453	0.814083323239267	-9.68085458704111	3.63663293667257e-22	1.60503864257966e-19
34	Smpdl3b	178.901862983982	4.95855327895169	0.512942287445924	9.66688339080337	4.16880174943879e-22	1.7873439729165301e-19
35	Ttyh1	59.8484998862941	-5.09239127679595	0.529138534007456	-9.62392823336543	6.33640164493899e-22	2.64122341899874e-19
36	Tspan1	233.020669225276	3.13256358635313	0.329626002127898	9.50338737275243	2.0317145587377002e-21	8.02313386010998e-19
37	Syt3	69.1195601134694	-4.29057648500057	0.451471763635025	-9.50353229281715	2.02888803296502e-21	8.02313386010998e-19
38	Amy2a1	544.519933004572	-5.36037927946309	0.567291667133075	-9.44907106877291	3.41850928125828e-21	1.31533718652723e-18
39	Gm45623	58.5714300153217	-6.64314819791744	0.704020841686479	-9.43601070389309	3.87242655576432e-21	1.4527408223949799e-18
40	Cel	823178.858494809	-3.98168331846819	0.429879025987779	-9.26233446565356	2.00010537585113e-20	7.32038567561512e-18
41	Mir217hg	79.5426537420528	-7.62520491646808	0.856353106858293	-8.90427658333921	5.37353192850549e-19	1.91988619331318e-16
42	Psrc1	141.538846346224	4.8462631713789	0.54585234854613	8.87834078993497	6.78650456516436e-19	2.3683322675548003e-16
43	Cldn2	224.215158270602	4.39931433048752	0.499023833049634	8.81584012451355	1.18790895108937e-18	4.0513094818289003e-16
44	Myrip	74.277401383994	-3.87279708201524	0.442165904498217	-8.7586967756146	1.97520670461574e-18	6.58665595765862e-16
45	Cabp2	1578.01069694783	-3.12744820814738	0.359633806554865	-8.69620194527032	3.43177465277558e-18	1.11950457477283e-15
46	Car9	210.611375658195	4.74125672005086	0.547729476431977	8.65620150833653	4.8774604341789595e-18	1.55725896330403e-15
47	Gnmt	734.263327328107	-3.23241628622906	0.375090441141056	-8.61769837801195	6.8313344507832494e-18	2.1356459326761103e-15
48	Gc	2355.49364539408	4.93326460039262	0.576752804226961	8.55351645321398	1.19394268349959e-17	3.6563885527744606e-15
49	Qsox1	1950.55025486227	-2.25825183789741	0.264460822995613	-8.53907891655798	1.35295955063109e-17	4.060502203354031e-15
50	Rnf212	76.1789434129056	-8.54050806208787	1.0010726145704	-8.53135720404555	1.44640671803738e-17	4.2558390609547105e-15
51	9230116L04Rik	32.0848950831019	-5.31058952965035	0.623704609235794	-8.51459080310028	1.67179581208751e-17	4.8244169146510105e-15
52	Isyna1	898.324765146839	2.75297959530447	0.325301893184365	8.46284529227814	2.6093176037376302e-17	7.38781508711072e-15
53	Grik4	45.2650244648026	-3.76844292854758	0.447835640757436	-8.41479012740905	3.93598956642382e-17	1.0937677672917801e-14
54	Brsk2	157.216572345117	-3.27371218346803	0.390840732746398	-8.3760772846371	5.4720985796118604e-17	1.49298747792101e-14
55	Tdh	332.267388249872	3.64770700279542	0.436755854784072	8.35182164781468	6.721810931793399e-17	1.8012052650445e-14
56	Mat1a	943.05162141889	-3.35029978355966	0.401355341426326	-8.34746529510099	6.97435144600316e-17	1.83608978594252e-14
57	Tff2	31144.1699623201	-4.1481442329299	0.500888549446498	-8.28157129467975	1.21560520989194e-16	3.1450640999376704e-14
58	Slc2a5	154.079448152572	3.32499706184452	0.403248313149766	8.24553247569227	1.64426361032961e-16	4.1820033451874804e-14
59	Crlf1	340.254064625999	-3.04756514642823	0.37442502785642	-8.13932007663996	3.9750383503010397e-16	9.9415709141029e-14
60	Tmem125	147.632688895984	-2.56169242413145	0.315072286105796	-8.13049111933404	4.27554629545555e-16	1.05178438868207e-13
61	Arsg	249.836647711334	-2.65399279588696	0.326891692214835	-8.11887502525681	4.70524731118805e-16	1.13882163147884e-13
62	Klk1b11	360.953733670109	-4.47441066287459	0.554519155992743	-8.06899205287895	7.08808788262264e-16	1.68831502804183e-13
63	Tsga10ip	61.5753897381226	-3.72477823662161	0.462282473212395	-8.05736417117045	7.79571403483332e-16	1.82785132510482e-13
64	Slc38a5	1907.13085313207	-5.49552722209272	0.684876542387293	-8.02411366424789	1.02261584086939e-15	2.36082666278248e-13
65	Ptprn2	533.581993883513	-3.67485735775504	0.462289371616094	-7.94925772337853	1.8763234439740302e-15	4.26607721216278e-13
66	Cip2a	179.526708629837	3.08473051481671	0.38920559364778	7.92570961250957	2.26847142826266e-15	5.08069884365812e-13
67	Bst2	811.843920887617	2.03135246373524	0.257755350961528	7.88093227223995	3.2494741374808003e-15	7.17082483927013e-13
68	Cachd1	230.162224994351	-2.6554150348753	0.338335240522108	-7.84847310252856	4.211329166767791e-15	9.15872543137935e-13
69	Mfap4	179.004920439887	2.84350442194857	0.362496832890651	7.84421866330163	4.35657414520515e-15	9.33925023184978e-13
70	Reg3d	4738.04067537188	-3.90889837529518	0.499772662162621	-7.82135292951111	5.2258601835927306e-15	1.10449659035201e-12
71	Gm45447	44.1190368905799	-4.56798881456712	0.588604490687831	-7.76071009792852	8.44551691296412e-15	1.7601864832769398e-12
72	C1rl	238.482384693016	-2.99631878817368	0.387142500399829	-7.73957595737791	9.97489322721418e-15	2.0504554488709e-12
73	Duox2	54.6789333661615	-3.63371472998384	0.471482650575506	-7.7069956350428	1.28814204654075e-14	2.6121431824852e-12
74	Gm33586	26.4312676134745	-5.79907200497369	0.752651440891297	-7.70485737475819	1.30989505284992e-14	2.6208380217421197e-12
75	Ghr	1154.25394263108	-1.77978276913439	0.23105513997013	-7.70284863329363	1.3306595070982501e-14	2.6273521794100498e-12
76	Klk1b4	358.262162064188	-4.54958588050735	0.59391082317482	-7.66038553765868	1.85375742454805e-14	3.6126602484114297e-12
77	Lamb3	353.704419070415	-2.56878750459072	0.338050047326666	-7.59883787890271	2.98801824254885e-14	5.74848740354975e-12
78	Mt2	1451.16898853014	-3.90342955525317	0.517906181410511	-7.53694336032488	4.81115166478249e-14	9.13875213692735e-12
79	Pbld1	296.458107462269	-3.34130205767097	0.443612440807955	-7.53202965089399	4.99576097268425e-14	9.370798644512469e-12
80	Ctrl	519022.330912022	-4.13775463564078	0.550251494849548	-7.5197517396516	5.4880351506329105e-14	1.0167093267950299e-11
81	Sord	785.249129672382	-2.9729329841088	0.396310734624555	-7.50152020718089	6.30819027804202e-14	1.1543988208816898e-11
82	Atp2c2	231.165171464097	-4.27692588226377	0.571239165616022	-7.48710197006808	7.04109979672022e-14	1.27299691023595e-11
83	Tmem184a	512.753667362006	-2.68576628404304	0.359361691777363	-7.47371337985286	7.79628555326187e-14	1.3927507263362799e-11
84	Clps	332914.561752797	-4.15820666116827	0.558216166289914	-7.44909752221091	9.39808843588531e-14	1.65914958904582e-11
85	Cpa2	217520.186744329	-3.491913366524	0.470501827014317	-7.42167865464579	1.1564512374062e-13	2.0178729381996897e-11
86	Aqp12	3070.1731157454	-3.33973933966038	0.450811628054364	-7.40828126832975	1.2794672166567199e-13	2.20686035093686e-11
87	Aldh1l1	378.44735649158	-2.84451053321983	0.384428319073097	-7.39932619968864	1.36877239772317e-13	2.33406802275385e-11
88	Slfn9	243.404810783157	2.56197158175225	0.349471175868804	7.33099539721139	2.28449512404707e-13	3.8518127900506003e-11
89	Fam210b	384.483232485932	-2.48520855805967	0.33919491602811	-7.32678598830685	2.35737821148928e-13	3.93053527128979e-11
91	Rad51	140.753556566865	2.87503481202898	0.393781220089877	7.30109681556875	2.85431260766971e-13	4.655632064205609e-11
92	Msrb1	1201.65623019566	-2.23125229663836	0.306204829211194	-7.28679656158992	3.17411643165354e-13	5.1215904487519295e-11
93	Itih2	367.603538828439	-2.50310964651341	0.345134459407784	-7.25256368433478	4.08955848906842e-13	6.45978049336429e-11
94	Ces1e	218.59073381287	-3.57288739487064	0.492631954894352	-7.25265050180691	4.0869370782228497e-13	6.45978049336429e-11
95	Itih4	384.392793491948	-5.5539625368047	0.765988022298473	-7.25071721113748	4.14570446615785e-13	6.48025429366299e-11
96	Anxa10	324.225021479637	9.53219657246537	1.31504674429947	7.24856102171731	4.21222653073951e-13	6.5163578680698e-11
97	Mt1	6276.47797341765	-3.31377830503006	0.457515373563857	-7.24298787867409	4.38906151231235e-13	6.720638474873389e-11
98	Postn	749.069238517965	2.38748947256415	0.330846308785147	7.21630983682697	5.34172735379318e-13	8.096763704143479e-11
99	Pcmtd1	682.329068769659	-1.77633488044592	0.246489431585956	-7.20653566774312	5.7393295180061e-13	8.612437874719959e-11
